message,label,transformed_Message
"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D",1,awww that bummer shoulda got david carr third day
is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,1,upset cant updat facebook text might cri result school today also blah
@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,1,dive mani time ball manag save rest go bound
my whole body feels itchy and like its on fire ,0,whole bodi feel itchi like fire
"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. ",1,behav im mad cant see
@Kwesidei not the whole crew ,1,whole crew
Need a hug ,1,need hug
"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?",1,hey long time see ye rain bit bit lol im fine thank how
@Tatiana_K nope they didn't have it ,1,nope didnt
@twittera que me muera ? ,1,que muera
spring break in plain city... it's snowing ,1,spring break plain citi snow
I just re-pierced my ears ,1,repierc ear
@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .,1,couldnt bear watch thought ua loss embarrass
"@octolinz16 It it counts, idk why I did either. you never talk to me anymore ",1,count idk either never talk anymor
"@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown.",1,wouldv first didnt gun realli though zac snyder doucheclown
@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!,1,wish got watch miss premier
Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?,0,holli death scene hurt sever watch film wri director cut
about to file taxes ,1,file tax
@LettyA ahh ive always wanted to see rent  love the soundtrack!!,1,ahh ive alway want see rent love soundtrack
@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? ,1,oh dear drink forgotten tabl drink
@alydesigns i was out most of the day so didn't get much done ,1,day didnt get much done
"one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* ",1,one friend call ask meet mid valley today ive time sigh
@angry_barista I baked you a cake but I ated it ,1,bake cake ate
this week is not going as i had hoped ,1,week go hope
blagh class at 8 tomorrow ,1,blagh class tomorrow
I hate when I have to call and wake people up ,0,hate call wake peopl
Just going to cry myself to sleep after watching Marley and Me.  ,1,go cri sleep watch marley
im sad now  Miss.Lilly,1,im sad miss lilli
ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again ,1,ooooh lol lesli ok wont lesli wont get mad
Meh... Almost Lover is the exception... this track gets me depressed every time. ,1,meh almost lover except track get depress everi time
some1 hacked my account on aim  now i have to make a new one,0,hack account aim make new one
@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though,1,want go promot gear groov unforn ride may b go one anaheim may though
thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! ,1,thought sleep option tomorrow realiz evalu morn work afternoon
@julieebaby awe i love you too!!!! 1 am here  i miss you,1,awe love miss
@HumpNinja I cry my asian eyes to sleep at night ,1,cri asian eye sleep night
ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now ,0,ok im sick spent hour sit shower caus sick stand held back puke like champ bed
